tick,price,type,quantity,time,commission,currency,cost,cost (sgd),days,ann cost (sgd)
D05.SI,20.4,buy,700,11/9/20,24.61,SGD,14304.61,14304.61,639,25042.87
ME8U.SI,3.11,buy,4000,11/9/20,21.29,SGD,12461.29,12461.29,639,21815.79
AJBU.SI,2.92,buy,2800,25/9/20,14.2,SGD,8190.2,8190.20,625,14024.32
C2PU.SI,4.16,buy,2000,25/9/20,14.25,SGD,8334.25,8334.25,625,14270.98
BABA,267.779,buy,26,28/9/20,19.26,USD,6981.514,9689.57,622,16512.10
AAPL,113.91,buy,62,29/9/20,19.26,USD,7081.68,9828.59,621,16722.07
MSFT,208.31,buy,34,29/9/20,19.26,USD,7101.8,9856.52,621,16769.58
NVDA,133.5657,buy,72,2/10/20,19.26,USD,9635.9904,13373.69,618,22643.68
ARKK,97.76,buy,75,23/10/20,19.26,USD,7351.26,10202.74,597,16687.77
SPY,344.91,buy,22,23/10/20,19.26,USD,7607.28,10558.07,597,17268.95
ARKW,119.24,buy,33,9/11/20,19.26,USD,3954.18,5487.97,580,8720.60
ARKG,71.13,buy,98,9/11/20,19.26,USD,6990,9701.35,580,15415.85
BABA,263.53,buy,19,30/11/20,19.26,USD,5026.33,6975.99,559,10683.78
ARKQ,70.05,buy,71,11/12/20,19.26,USD,4992.81,6929.47,548,10403.70
ME8U.SI,2.78,buy,1000,20/12/20,11.89,SGD,2791.89,2791.89,539,4122.82
ARKF,50.71,buy,96,22/12/20,19.26,USD,4887.42,6783.20,537,9979.67
BABA,224.01,buy,23,24/12/20,19.26,USD,5171.49,7177.46,535,10520.39
BABA,226.01,buy,23,24/12/20,19.26,USD,5217.49,7241.30,535,10613.96
META,260.21,buy,27,29/1/21,19.26,USD,7044.93,9777.59,499,13367.17
PRNT,47.51,buy,116,11/2/21,19.26,USD,5530.42,7675.61,486,10220.13
TSLA,805.62,buy,7,11/2/21,19.26,USD,5658.6,7853.51,486,10457.01
SOXX,439.81,buy,12,16/2/21,19.26,USD,5296.98,7351.63,481,9688.03
U,116.52,buy,47,18/2/21,19.26,USD,5495.7,7627.43,479,10009.69
TSLA,724.5,buy,7,22/2/21,19.26,USD,5090.76,7065.41,475,9194.72
PRNT,40.38,buy,116,25/2/21,19.26,USD,4703.34,6527.72,472,8441.32
AJBU.SI,2.62,buy,700,8/3/21,2.5,SGD,1836.5,1836.50,461,2319.52
QQQ,314.1,buy,8,3/3/21,1,USD,2513.8,3488.88,466,4454.29
ARKG,92.19,buy,30,3/3/21,1,USD,2766.7,3839.88,466,4902.42
ARKQ,84.31,buy,25,4/3/21,1,USD,2108.75,2926.71,465,3728.55
